date,cota_Mom,cota_beta,cota_valor
09/05/2008,0.986814607,1.068500895,0.893588307
12/05/2008,0.999807436,1.076877027,0.894285466
13/05/2008,0.991981683,1.075505674,0.883524291
14/05/2008,0.97765316,1.067419476,0.884864953
15/05/2008,0.990460237,1.068476813,0.89229318
16/05/2008,0.982869771,1.07976603,0.903978561
19/05/2008,0.970285995,1.083646898,0.892982231
20/05/2008,0.969485141,1.079811739,0.896087718
21/05/2008,0.952897184,1.0768698,0.885907971
22/05/2008,0.952483784,1.076402616,0.885523633
23/05/2008,0.941954117,1.068328525,0.912659319
26/05/2008,0.934760537,1.079437129,0.911871461
27/05/2008,0.928548362,1.076238146,0.914489626
28/05/2008,0.964809254,1.101690965,0.943405347
29/05/2008,0.963584391,1.094106916,0.945442287
30/05/2008,0.977803065,1.119009958,0.947621167
02/06/2008,0.954997666,1.102044651,0.937520541
03/06/2008,0.923271292,1.098694175,0.926614636
04/06/2008,0.91261572,1.098146017,0.929699785
05/06/2008,0.944597125,1.113105558,0.948087714
06/06/2008,0.915546701,1.096060387,0.923484704
09/06/2008,0.909834764,1.094008699,0.933652182
10/06/2008,0.901055185,1.089471033,0.9266635
11/06/2008,0.881800304,1.085490807,0.927995071
12/06/2008,0.885765736,1.080428973,0.925421594
13/06/2008,0.890425363,1.081197951,0.927247803
16/06/2008,0.908730109,1.081026337,0.929081613
17/06/2008,0.908200497,1.081849125,0.935395964
18/06/2008,0.882830723,1.075250923,0.926577551
19/06/2008,0.880314756,1.082453479,0.935447835
20/06/2008,0.869115581,1.067159366,0.921343599
23/06/2008,0.859906471,1.072587364,0.918681542
24/06/2008,0.850666482,1.054857595,0.917434454
25/06/2008,0.862738985,1.051220922,0.930772113
26/06/2008,0.832360254,1.034190072,0.915347943
27/06/2008,0.832779918,1.02808208,0.915392066
30/06/2008,0.843720048,1.032268213,0.923920268
01/07/2008,0.832630284,1.013085314,0.901704628
02/07/2008,0.801501589,1.000569576,0.88961454
03/07/2008,0.775529832,0.990288705,0.872497217
04/07/2008,0.76412527,0.980684385,0.875853329
07/07/2008,0.754351012,0.975274114,0.873394925
08/07/2008,0.762273535,0.95605572,0.88204401
09/07/2008,0.76192714,0.955621266,0.881643189
10/07/2008,0.768152335,0.952250384,0.906236449
11/07/2008,0.769986341,0.948990322,0.909640896
14/07/2008,0.767925538,0.953328729,0.906122594
15/07/2008,0.785201775,0.942512813,0.91092691
16/07/2008,0.810943811,0.95406347,0.931112914
17/07/2008,0.796008196,0.939772308,0.921998863
18/07/2008,0.774180066,0.934549295,0.913759121
21/07/2008,0.785078578,0.948195251,0.923993761
22/07/2008,0.773116839,0.952418116,0.919080422
23/07/2008,0.782467524,0.94954611,0.915913124
24/07/2008,0.770552657,0.9255798,0.890569525
25/07/2008,0.781278987,0.921495991,0.890647492
28/07/2008,0.768579641,0.915352388,0.884348605
29/07/2008,0.789004046,0.906390108,0.901025921
30/07/2008,0.80564533,0.918319904,0.915725838
31/07/2008,0.804421727,0.90807827,0.916536698
01/08/2008,0.781007739,0.901391254,0.923304216
04/08/2008,0.765521373,0.87929048,0.913868908
